id,County,District,Type,Kindergarteners_with_Vaccination,exempt,value
Achille ES,Bryan,Achille,Public,25,0,1.000
Alex ES (Grady County),Grady,Alex,Public,23,0,1.000
Allen ES,Pontotoc,Allen,Public,39,0,1.000
Altus Early Childhood Center,Jackson,Altus,Public,238,0,1.000
Beaver ES,Beaver,Beaver,Public,23,0,1.000
Belfonte Bell ES (Adair County),Sequoyah,Belfonte,Public,17,0,1.000
Blair ES,Jackson,Blair,Public,21,0,1.000
Boise City ES,Cimarron,Boise City,Public,19,0,1.000
Cameron ES,Le Flore,Cameron,Public,28,0,1.000
Canadian ES,Pittsburg,Canadian,Public,27,0,1.000
Carney ES,Lincoln,Carney,Public,26,0,1.000
Clean Valley ES,Washington,Caney Valley,Public,60,0,1.000
Coolidge ES (Oklahoma County),Oklahoma,Oklahoma City,Public,95,0.01,1.000
Cornelsen ES,Major,Fairview,Public,54,0.02,1.000
Crutcho Public School,Oklahoma,Crutcho,Public,32,0,1.000
Emerson ES (Coal County),Coal,Coalgate,Public,43,0,1.000
Fairview ES,Cleveland,Moore,Public,99,0.03,1.000
Fisher ES,Cleveland,Moore,Public,46,0,1.000
Flower Mound Public School,Comanche,Flower Mound,Public,53,0,1.000
Fox ES,Carter,Fox,Public,27,0.04,1.000
Garfield ES (Tulsa County),Tulsa,Sand Springs,Public,74,0,1.000
Hollis ES,Harmon,Hollis,Public,48,0,1.000
Homiy Early Childhood Center,Osage,Hominy,Public,40,0,1.000
Hugo ES,Choctaw,Hugo,Public,118,0.02,1.000
Indian Meridian ES,Oklahoma,Chocktaw-Nicoma Park,Public,126,0.08,1.000
Jarman ES,Tulsa,Union,Public,76,0,1.000
Kingsgate ES,Cleveland,Moore,Public,65,0.03,1.000
Lee ES (Tulsa County),Tulsa,Tulsa,Public,68,0.04,1.000
Leedey ES,Roger Mills,Leedey,Public,12,0,1.000
Linwood ES,Oklahoma,Oklahoma City,Public,67,0,1.000
Locust Grove Early Learning Center,Mayes,Locust Grove,Public,85,0.02,1.000
Madison ES,Cleveland,Norman,Public,64,0,1.000
Mannford Early Childhood Center,Creek,Mannford,Public,89,0,1.000
Mary White ES,Muskogee,Haskell,Public,59,0.02,1.000
Maysville ES,Garvin,Maysville,Public,30,0,1.000
McCord Public School,Osage,McCord,Public,56,0.02,1.000
McKinley ES (Cleveland County),Cleveland,Norman,Public,50,0,1.000
McLoud ES,Pottawatomie,McCloud,Public,129,0.02,1.000
Medford ES,Grant,Medford,Public,26,0,1.000
Monroe ES (Cleveland County),Cleveland,Norman,Public,73,0.05,1.000
Oakes ES,Okfuskee,Okemah,Public,65,0,1.000
Okay ES,Wagoner,Okay,Public,26,0,1.000
Okeene ES,Blaine,Okeene,Public,23,0,1.000
Olive ES,Creek,Olive,Public,15,0,1.000
Osage Hills Public Schools,Osage,Osage Hills,Public,19,0,1.000
Pawnee ES,Pawnee,Pawnee,Public,54,0,1.000
Pittsburg ES,Pittsburg,Pittsburg,Public,10,0,1.000
Pleasant Grove Public School,Pottawatomie,Pleasant Grove,Public,29,0,1.000
Rattan ES,Pushmataha,Rattan,Public,39,0,1.000
Roff ES,Pontotoc,Roff,Public,20,0,1.000
Sacred Heart Catholic School,Canadian,Occsaa,Private,12,0,1.000
Savanna ES,Pittsburg,Savanna,Public,27,0,1.000
Schulter ES,Okmulgee,Schulter,Public,11,0,1.000
Seiling ES,Dewey,Seiling,Public,40,0,1.000
Sequoyah ES (Rogers County),Rogers,Sequoyah,Public,87,0,1.000
Shady Grove Public School,Cherokee,Shady Grove,Public,15,0,1.000
Spence Memorial ES,Okfuskee,Weleetka,Public,31,0,1.000
St. Catherine Catholic School,Tulsa,Occsaa,Private,14,0,1.000
St. Elizabeth Ann Seton Catholic School,Oklahoma,Occsaa,Private,38,0,1.000
St. John Nepomuk Catholic School,Canadian,Occsaa,Private,16,0,1.000
St. Mary Catholic School,Kay,Occsaa,Private,16,0,1.000
St. Mary's Episcopal School,Oklahoma,Saes,Private,21,0,1.000
St. Philip Neri Catholic School,Oklahoma,Occsaa,Private,19,0,1.000
St. Pius X Catholic School,Tulsa,Occsaa,Private,22,0,1.000
Stilwell ES,Adair,Stillwell,Public,58,0,1.000
Swink Public School,Choctaw,Swink,Public,22,0,1.000
Taft ES,Garfield,Enid,Public,47,0,1.000
Talihina ES,Le Flore,Talihina,Public,46,0,1.000
Tannehill Public School,Pittsburg,Tannehill,Public,14,0,1.000
Timberlake ES,Alfalfa,Timberlake,Public,35,0,1.000
Tipton ES,Tillman,Tipton,Public,14,0,1.000
Tonkawa ES,Kay,Tonkawa,Public,76,0,1.000
Tyrone ES,Texas,Tyrone,Public,18,0,1.000
Velma-Alma ES,Stephens,Velma-Alma,Public,28,0,1.000
Wainwright Public School,Muskogee,Wainwright,Public,14,0,1.000
Wayne ES,McClain,Wayne,Public,35,0,1.000
Waynoka ES,Woods,Waynoka,Public,21,0,1.000
West Nichols Hills ES,Oklahoma,Oklahoma City,Public,60,0,1.000
Will Rogers ES (Burns Flat-Dill City District),Washita,Burns Flat-Dill City,Public,37,0,1.000
Wilson ES (Carter County),Carter,WIlson,Public,33,0,1.000
Woodall Public School,Cherokee,Woodall,Public,58,0,1.000
Wyandotte ES,Ottawa,Wyandotte,Public,65,0,1.000
Okmulgee Primary ES,Okmulgee,Okmulgee,Public,136,0.01,0.993
Mark Twain ES (Tulsa County),Tulsa,Tulsa,Public,53,0.02,0.992
Hugh Bish ES,Comanche,Lawton,Public,41,0,0.992
Columbus ES,Tulsa,Tulsa,Public,60,0,0.990
Holy Trinity Lutheran School,Oklahoma,NLSA,Private,29,0.03,0.990
Larkin Bailey ES,Tulsa,Owasso,Public,84,0.04,0.990
